ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
223,simple,73532-25,"Stained Glass Vase",1,0,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,39,Decoration,"Classic, Decor, Minimal",,http://localhost/savyo/wp-content/uploads/2015/08/81o3Sb7Z0yL._AC_SL1500_.jpg,,,,,,,,,30,Color,Orange,1,1
224,simple,73532-28,"Floral Scented Sachet",1,0,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,19,Decoration,Interior,,http://localhost/savyo/wp-content/uploads/2015/08/81XnAozDtsL._AC_SL1500_.jpg,,,,,,,,,29,Color,"Blue, Gray",1,1
225,simple,73532-30,"Jersey Backpack",1,0,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,39,"Bags &amp; Backpacks","Contemporary, Travel",,http://localhost/savyo/wp-content/uploads/2015/08/91Yj4pPi5qL._AC_SL1500_.jpg,,,,,,,,,28,Color,"Gray, Green",1,1
226,simple,73532-32,"Navy Bag",1,0,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,109,129,"Bags &amp; Backpacks","Classic, Travel",,http://localhost/savyo/wp-content/uploads/2015/08/91GEW96GBL._AC_SL1500_.jpg,,,,,,,,,27,Color,Blue,1,1
228,simple,73532-55,"Glass Pitcher",1,0,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,79,Essentials,"Essentials, Kitchen",,http://localhost/savyo/wp-content/uploads/2015/08/61a81DyXDuL._AC_SL1500_.jpg,,,,,,,,,25,Color,White,1,1
237,simple,73253-7,"Round Tray Table",1,0,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,79,Interior,"Contemporary, Interior, Minimal",,http://localhost/savyo/wp-content/uploads/2015/08/71h9Ix0aHWL._AC_SL1500_.jpg,,,,,,,,,15,Color,White,1,1
239,simple,73253-12,"Henry Backpack",1,0,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,79,"Bags &amp; Backpacks",Travel,,http://localhost/savyo/wp-content/uploads/2015/08/710F0pDh5nL._AC_SL1500_.jpg,,,,,,,,,13,Color,Blue,1,1
242,simple,73253-46,"Canvas Basket",1,0,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,39,Interior,"Bathroom, Contemporary, Interior",,http://localhost/savyo/wp-content/uploads/2015/08/916YK8trstL._AC_SL1500_.jpg,,,,,,,,,10,Color,White,1,1
243,simple,73253-21,"Ceramic Tealight Holder",1,0,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,16,28,Decoration,"Decor, Lighting",,http://localhost/savyo/wp-content/uploads/2015/08/6139B76ivHL._AC_SL1500_.jpg,,,,,,,,,9,Color,Orange,1,1
244,simple,73253-25,"Plain Glass Bottle",1,1,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,12,Essentials,"Contemporary, Essentials, Kitchen",,http://localhost/savyo/wp-content/uploads/2015/08/71ynFIARlL._AC_SL1500_.jpg,,,,,,,,,8,Color,White,1,1
245,simple,73253-28,"Laptop Bag",1,0,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,19,"Bags &amp; Backpacks","Contemporary, Travel",,http://localhost/savyo/wp-content/uploads/2015/08/91xM4mZghdL._AC_SL1500_.jpg,,,,,,,,,7,Color,Blue,1,1
247,simple,73253-32,"Press Coffee Maker",1,1,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,39,Essentials,"Essentials, Kitchen, Tableware",,http://localhost/savyo/wp-content/uploads/2015/08/71AS8HdtxOL._AC_SL1500_.jpg,,,,,,,,,5,Color,Blue,1,1
248,simple,73253-37,"Specs Sunglasses",1,1,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,109,Essentials,"Essentials, Travel",,http://localhost/savyo/wp-content/uploads/2015/08/photo-1597736329868-674ecad6a53d.jpg,,,,,,,,,4,Color,Brown,1,1
249,simple,73253-41,"Hans Backpack",1,1,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,79,"Bags &amp; Backpacks","Contemporary, Travel",,http://localhost/savyo/wp-content/uploads/2015/08/71ntzf-dhwL._AC_SL1500_.jpg,,,,,,,,,3,Color,"Brown, Green",1,1
250,simple,73253-50,"Wall Clock",1,0,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,79,Decoration,"Decor, Interior, Minimal",,http://localhost/savyo/wp-content/uploads/2015/08/71FSiS7K4sS._AC_SL1500_.jpg,,,,,,,,,2,Color,"Gray, Green, Orange",1,1
252,simple,73253-52,"Pendant Lamp",1,1,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,79,Interior,"Interior, Lighting, Minimal",,http://localhost/savyo/wp-content/uploads/2015/08/photo-1613271023510-f579875a0334.jpg,,,,,,,,,0,Color,Gray,1,1
253,simple,73253-55,"Classic Chair",1,1,visible,"Designed for simplicity and made from high quality materials. Its sleek geometry and material combinations creates a modern personalized look.","Authentic keffiyeh master cleanse. Fingerstache semiotics PBR quinoa. Pop-up Godard kale chips, trust fund Neutra fingerstache paleo Wes Anderson. Deep v single-origin coffee cred Thundercats beard. Mumblecore before they sold out roof party biodiesel. Banksy swag Portland readymade synth messenger bag cliche.",,,taxable,,1,,,0,0,,,,,1,,,379,Interior,"Classic, Interior, Leather",,http://localhost/savyo/wp-content/uploads/2015/08/photo-1601392740426-907c7b028119.jpg,,,,,,,,,20,Color,Brown,1,1
